City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.71,-155.08,78.8,78,90,5.82,US,2019-11-07 05:33:40
1,Avarua,-21.21,-159.78,73.4,83,8,9.17,CK,2019-11-07 05:29:37
2,Viedma,-40.81,-62.99,57.06,41,96,16.13,AR,2019-11-07 05:33:40
3,Port Alfred,-33.59,26.89,62.01,87,98,5.99,ZA,2019-11-07 05:33:41
4,Lagoa,37.14,-8.45,61.0,100,75,8.05,PT,2019-11-07 05:33:41
5,Nikolskoye,59.7,30.79,25.0,85,100,11.18,RU,2019-11-07 05:33:41
6,Punta Arenas,-53.16,-70.91,35.6,74,40,32.21,CL,2019-11-07 05:29:41
7,Castro,-42.48,-73.76,34.03,95,98,1.07,CL,2019-11-07 05:33:42
8,Atuona,-9.8,-139.03,80.02,78,90,16.82,PF,2019-11-07 05:29:54
9,Ushuaia,-54.81,-68.31,33.8,98,90,29.97,AR,2019-11-07 05:33:42
10,Bredasdorp,-34.53,20.04,57.99,66,42,10.29,ZA,2019-11-07 05:33:42
11,Dikson,73.51,80.55,-11.48,93,1,12.44,RU,2019-11-07 05:29:59
12,Lisieux,49.15,0.23,50.0,87,81,11.41,FR,2019-11-07 05:33:43
13,Rikitea,-23.12,-134.97,76.73,82,31,5.57,PF,2019-11-07 05:29:39
14,Busselton,-33.64,115.35,79.0,26,0,14.92,AU,2019-11-07 05:33:44
15,Tuatapere,-46.13,167.69,61.66,48,62,7.4,NZ,2019-11-07 05:33:44
16,San Miguel,-34.54,-58.72,70.0,72,17,4.7,AR,2019-11-07 05:33:44
17,Ulaangom,49.98,92.07,36.32,55,93,2.77,MN,2019-11-07 05:33:44
18,Cape Town,-33.93,18.42,61.0,62,75,6.93,ZA,2019-11-07 05:33:11
19,Svetlaya,46.54,138.33,30.24,45,0,22.84,RU,2019-11-07 05:33:45
20,Znamenskoye,57.13,73.82,36.79,94,100,10.51,RU,2019-11-07 05:33:45
21,Lompoc,34.64,-120.46,60.8,87,90,4.7,US,2019-11-07 05:33:45
22,Banda Aceh,5.56,95.32,87.26,60,89,4.59,ID,2019-11-07 05:33:46
23,Saint-Joseph,43.56,6.97,51.01,81,16,3.36,FR,2019-11-07 05:33:46
24,Qaanaaq,77.48,-69.36,0.01,57,10,5.77,GL,2019-11-07 05:33:46
25,East London,-33.02,27.91,66.2,72,20,17.22,ZA,2019-11-07 05:33:46
26,Jamestown,-33.21,138.6,68.9,36,14,17.74,AU,2019-11-07 05:33:46
27,Kruisfontein,-34.0,24.73,59.79,64,74,27.69,ZA,2019-11-07 05:33:47
28,Vaini,15.34,74.49,80.6,65,21,3.36,IN,2019-11-07 05:33:47
29,Upernavik,72.79,-56.15,23.97,86,100,4.41,GL,2019-11-07 05:33:47
30,Evensk,61.92,159.24,26.91,90,100,13.4,RU,2019-11-07 05:33:47
31,Tiksi,71.64,128.87,-11.62,99,94,3.51,RU,2019-11-07 05:33:48
32,Bilibino,68.06,166.44,19.02,75,100,3.98,RU,2019-11-07 05:33:48
33,Chokurdakh,70.62,147.9,10.92,95,99,1.05,RU,2019-11-07 05:30:28
34,Souillac,45.6,-0.6,50.0,81,71,9.17,FR,2019-11-07 05:33:48
35,Dir,6.33,13.54,67.17,81,0,1.99,CM,2019-11-07 05:33:49
36,Mugumu,-1.84,34.67,75.74,54,15,7.78,TZ,2019-11-07 05:33:49
37,Carnarvon,-30.97,22.13,52.34,41,19,13.15,ZA,2019-11-07 05:33:49
38,Fukue,35.03,136.69,66.99,55,75,3.36,JP,2019-11-07 05:33:49
39,Chapleau,47.85,-83.4,13.87,93,17,7.76,CA,2019-11-07 05:33:50
40,Cherskiy,68.75,161.3,28.04,71,100,11.03,RU,2019-11-07 05:33:50
41,Richards Bay,-28.77,32.06,72.64,88,21,20.67,ZA,2019-11-07 05:33:50
42,Namatanai,-3.66,152.44,83.75,78,87,20.13,PG,2019-11-07 05:33:51
43,Riverton,43.02,-108.38,27.0,79,90,3.36,US,2019-11-07 05:33:51
44,Hithadhoo,-0.6,73.08,82.51,69,95,7.72,MV,2019-11-07 05:33:51
45,Okha,53.59,142.95,24.66,75,100,15.17,RU,2019-11-07 05:33:51
46,Chuy,-33.69,-53.46,58.73,79,96,5.12,UY,2019-11-07 05:33:52
47,Qingquan,34.7,106.0,59.79,37,0,6.02,CN,2019-11-07 05:33:52
48,Xinzhi,22.54,120.62,84.2,51,75,3.36,TW,2019-11-07 05:33:52
49,Georgetown,6.8,-58.16,75.2,100,40,2.24,GY,2019-11-07 05:32:02
50,Bordighera,43.79,7.66,51.01,66,20,10.29,IT,2019-11-07 05:33:52
51,Lyuban,52.8,28.0,40.75,95,70,6.4,BY,2019-11-07 05:33:53
52,Sawtell,-30.38,153.1,95.0,28,0,19.46,AU,2019-11-07 05:33:53
53,Targusor,44.45,28.42,59.0,93,100,5.82,RO,2019-11-07 05:33:53
54,Saskylakh,71.97,114.09,-23.5,97,0,5.17,RU,2019-11-07 05:33:53
55,Mangrol,25.33,76.51,76.26,65,99,5.1,IN,2019-11-07 05:33:54
56,Kapaa,22.08,-159.32,80.6,74,40,12.75,US,2019-11-07 05:33:54
57,Thompson,55.74,-97.86,5.0,84,90,2.24,CA,2019-11-07 05:30:43
58,Bakhmach,51.18,32.81,46.36,83,91,2.98,UA,2019-11-07 05:33:54
59,Clyde River,70.47,-68.59,23.0,92,90,11.41,CA,2019-11-07 05:33:55
60,Arraial Do Cabo,-22.97,-42.02,72.48,84,96,6.78,BR,2019-11-07 05:33:55
61,Ostrovnoy,68.05,39.51,18.07,89,92,4.47,RU,2019-11-07 05:29:59
62,Albany,42.65,-73.75,41.0,41,90,10.29,US,2019-11-07 05:33:55
63,New Norfolk,-42.78,147.06,51.01,61,75,20.8,AU,2019-11-07 05:33:55
64,Muros,42.77,-9.06,52.0,93,20,5.82,ES,2019-11-07 05:33:56
65,Bluff,-23.58,149.07,91.4,15,0,4.52,AU,2019-11-07 05:33:56
66,Butaritari,3.07,172.79,84.72,76,84,13.58,KI,2019-11-07 05:33:56
67,San Pedro De Macoris,18.46,-69.3,75.2,94,20,4.7,DO,2019-11-07 05:33:57
68,Provideniya,64.42,-173.23,30.2,58,0,13.42,RU,2019-11-07 05:33:57
69,Kavieng,-2.57,150.8,84.81,76,100,18.54,PG,2019-11-07 05:33:57
70,Uige,-7.61,15.06,68.92,96,95,1.7,AO,2019-11-07 05:33:57
71,Mirnyy,56.57,36.46,32.56,85,100,6.58,RU,2019-11-07 05:33:57
72,Kasulu,-4.57,30.11,69.8,88,20,2.08,TZ,2019-11-07 05:33:58
73,Longyearbyen,78.22,15.63,10.4,78,20,4.7,NO,2019-11-07 05:33:58
74,Qaqortoq,60.72,-46.03,39.2,32,100,19.46,GL,2019-11-07 05:33:58
75,Te Anau,-45.41,167.72,54.72,78,59,6.2,NZ,2019-11-07 05:33:58
76,Airai,-8.93,125.41,82.04,47,40,8.01,TL,2019-11-07 05:33:59
77,Barrow,-38.31,-60.23,54.16,43,10,7.72,AR,2019-11-07 05:33:59
78,Vestmannaeyjar,63.44,-20.27,39.72,79,100,14.54,IS,2019-11-07 05:33:59
79,Hermanus,-34.42,19.24,57.99,82,99,13.0,ZA,2019-11-07 05:33:59
80,Luderitz,-26.65,15.16,59.0,67,4,16.11,NA,2019-11-07 05:33:59
81,Leningradskiy,69.38,178.42,18.68,87,34,17.85,RU,2019-11-07 05:34:00
82,Oxbow,49.23,-102.17,-0.41,84,1,5.82,CA,2019-11-07 05:34:00
83,Vila Franca Do Campo,37.72,-25.43,60.8,82,75,4.7,PT,2019-11-07 05:30:33
84,Namibe,-15.19,12.15,74.98,85,52,15.23,AO,2019-11-07 05:30:18
85,Polyarnyy,69.2,33.45,19.4,92,90,2.44,RU,2019-11-07 05:34:01
86,Porto Velho,-8.75,-63.87,73.4,94,90,3.36,BR,2019-11-07 05:34:01
87,Srednekolymsk,67.46,153.71,8.44,93,100,1.39,RU,2019-11-07 05:34:01
88,Shaoyang,27.23,111.45,70.41,41,0,9.86,CN,2019-11-07 05:34:01
89,Khatanga,71.98,102.47,-8.72,83,33,9.66,RU,2019-11-07 05:34:02
90,Sorong,-0.86,131.25,83.66,76,88,3.0,ID,2019-11-07 05:34:02
91,Mataura,-46.19,168.86,58.93,90,98,8.1,NZ,2019-11-07 05:34:02
92,Norilsk,69.35,88.2,14.0,85,75,15.66,RU,2019-11-07 05:34:03
93,Sorgun,39.81,35.19,55.49,45,3,4.27,TR,2019-11-07 05:33:38
94,Agbor,6.26,6.15,73.38,98,32,0.4,NG,2019-11-07 05:34:03
95,Geraldton,49.72,-86.95,14.0,85,90,13.87,CA,2019-11-07 05:34:03
96,Hasaki,35.73,140.83,72.0,53,75,13.87,JP,2019-11-07 05:34:04
97,Le Port,42.87,1.37,48.99,76,93,136.01,FR,2019-11-07 05:34:04
98,Taoudenni,22.68,-3.98,66.4,30,0,3.58,ML,2019-11-07 05:34:04
99,Pali,25.77,73.33,84.2,45,0,9.26,IN,2019-11-07 05:34:04
100,Codrington,-28.95,153.24,96.8,14,0,17.22,AU,2019-11-07 05:34:05
101,Vila Velha,-3.71,-38.6,79.0,78,20,12.75,BR,2019-11-07 05:34:05
102,Vao,59.1,26.19,27.93,89,90,8.52,EE,2019-11-07 05:34:05
103,Faanui,-16.48,-151.75,80.89,81,2,17.58,PF,2019-11-07 05:34:05
104,Port Hedland,-20.31,118.58,98.6,32,1,16.11,AU,2019-11-07 05:34:06
105,Kharp,66.82,65.8,1.35,92,6,11.1,RU,2019-11-07 05:34:06
106,Port-Gentil,-0.72,8.78,73.4,94,75,3.36,GA,2019-11-07 05:34:06
107,Gunjur,13.18,-16.76,82.27,63,56,14.0,GM,2019-11-07 05:34:06
108,Bocas Del Toro,9.33,-82.25,66.0,92,100,3.0,PA,2019-11-07 05:34:06
109,Hobart,-42.88,147.33,52.0,61,75,20.8,AU,2019-11-07 05:29:21
110,Benjamin Aceval,-24.97,-57.57,78.8,78,90,4.7,PY,2019-11-07 05:34:07
111,Ribeira Grande,38.52,-28.7,60.94,84,99,5.12,PT,2019-11-07 05:34:07
112,Palu,-0.9,119.87,80.19,74,30,3.36,ID,2019-11-07 05:34:08
113,Ugoofaaru,5.67,73.0,82.87,73,15,9.6,MV,2019-11-07 05:34:08
114,Cidreira,-30.17,-50.22,67.35,81,16,24.56,BR,2019-11-07 05:34:08
115,Puerto Ayora,-0.74,-90.35,69.01,92,5,4.0,EC,2019-11-07 05:29:53
116,Atbasar,51.81,68.36,27.19,78,50,14.72,KZ,2019-11-07 05:34:09
117,Kaitangata,-46.28,169.85,55.0,92,58,7.0,NZ,2019-11-07 05:34:09
118,Beringovskiy,63.05,179.32,30.34,84,98,16.24,RU,2019-11-07 05:34:09
119,Sabratah,32.79,12.49,68.52,68,94,16.2,LY,2019-11-07 05:29:18
120,Bambous Virieux,-20.34,57.76,79.0,73,40,12.75,MU,2019-11-07 05:34:10
121,Tura,64.27,100.22,-1.95,94,45,2.55,RU,2019-11-07 05:34:10
122,Labuhan,-2.54,115.51,93.4,40,100,2.1,ID,2019-11-07 05:34:10
123,Dwarka,28.58,77.04,80.01,72,75,3.36,IN,2019-11-07 05:34:10
124,Emba,34.81,32.42,64.4,63,0,9.17,CY,2019-11-07 05:34:11
125,Nome,30.04,-94.42,62.6,93,1,3.51,US,2019-11-07 05:34:11
126,Paragominas,-3.0,-47.35,71.91,98,69,2.84,BR,2019-11-07 05:34:11
127,Severo-Kurilsk,50.68,156.12,32.97,85,31,3.47,RU,2019-11-07 05:34:12
128,Kurilsk,45.23,147.88,44.11,73,95,13.62,RU,2019-11-07 05:34:12
129,Shimoda,34.7,138.93,73.4,56,75,13.87,JP,2019-11-07 05:34:12
130,Fuyang,32.89,115.81,70.66,28,32,9.66,CN,2019-11-07 05:34:12
131,Bubaque,11.28,-15.83,83.44,70,23,11.68,GW,2019-11-07 05:31:09
132,Sergiyevsk,53.94,51.16,49.68,89,100,21.59,RU,2019-11-07 05:34:13
133,Faya,18.39,42.45,64.4,26,13,4.7,SA,2019-11-07 05:30:17
134,Pisco,-13.71,-76.2,64.4,82,20,4.7,PE,2019-11-07 05:34:14
135,Ilulissat,69.22,-51.1,21.2,62,80,2.24,GL,2019-11-07 05:30:49
136,Bathsheba,13.22,-59.52,82.4,69,40,24.16,BB,2019-11-07 05:34:14
137,Semnan,35.58,53.39,53.6,34,0,0.47,IR,2019-11-07 05:34:14
138,Kingsport,36.55,-82.56,53.6,87,90,6.93,US,2019-11-07 05:32:26
139,Sitka,37.17,-99.65,33.01,69,100,5.01,US,2019-11-07 05:34:15
140,Yenagoa,4.92,6.26,76.71,95,100,1.59,NG,2019-11-07 05:34:15
141,Shingu,33.72,135.99,66.2,59,75,2.24,JP,2019-11-07 05:34:15
142,Richmond,49.16,-123.14,46.99,93,75,2.24,CA,2019-11-07 05:30:08
143,Lebu,8.96,38.73,60.8,63,20,5.82,ET,2019-11-07 05:30:00
144,Saint-Augustin,45.63,-73.98,36.0,97,90,9.17,CA,2019-11-07 05:34:16
145,Calbuco,-41.77,-73.13,46.4,93,75,3.36,CL,2019-11-07 05:34:16
146,Udachnyy,66.42,112.4,-7.61,83,83,2.24,RU,2019-11-07 05:34:16
147,Atar,20.52,-13.05,63.27,46,0,7.67,MR,2019-11-07 05:34:17
148,Rocha,-34.48,-54.34,54.79,77,24,8.16,UY,2019-11-07 05:34:17
149,Cabo San Lucas,22.89,-109.91,80.01,65,75,4.7,MX,2019-11-07 05:33:34
150,Erzin,36.95,36.2,64.0,100,20,2.24,TR,2019-11-07 05:34:18
151,Yellowknife,62.45,-114.38,9.0,84,5,5.82,CA,2019-11-07 05:34:18
152,Yarmouth,43.84,-66.12,37.0,69,5,3.36,CA,2019-11-07 05:34:18
153,Karpogory,64.0,44.44,15.69,97,93,3.29,RU,2019-11-07 05:34:18
154,Chicama,-7.84,-79.15,62.6,82,67,9.17,PE,2019-11-07 05:34:18
155,Norman Wells,65.28,-126.83,12.2,78,75,4.7,CA,2019-11-07 05:34:19
156,Havre-Saint-Pierre,50.23,-63.6,24.8,53,1,23.04,CA,2019-11-07 05:34:19
157,Sao Mateus,-18.72,-39.86,72.43,94,13,3.98,BR,2019-11-07 05:34:19
158,Guaraniacu,-25.1,-52.88,65.37,96,100,3.4,BR,2019-11-07 05:34:19
159,Rapar,23.57,70.65,85.24,45,6,3.15,IN,2019-11-07 05:34:20
160,Misratah,32.38,15.09,70.34,82,51,25.14,LY,2019-11-07 05:34:20
161,Lasa,34.92,32.53,64.4,63,0,9.17,CY,2019-11-07 05:30:24
162,Los Llanos De Aridane,28.66,-17.92,68.0,77,75,11.41,ES,2019-11-07 05:34:20
163,Yerbogachen,61.28,108.01,6.87,84,35,5.75,RU,2019-11-07 05:34:20
164,Tuktoyaktuk,69.44,-133.03,19.4,85,90,11.41,CA,2019-11-07 05:34:21
165,Port Elizabeth,39.31,-74.98,46.4,86,1,3.36,US,2019-11-07 05:34:21
166,Teguise,29.06,-13.56,66.2,72,22,11.41,ES,2019-11-07 05:34:21
167,Afsin,38.25,36.91,50.86,44,0,1.86,TR,2019-11-07 05:34:22
168,Igarka,67.47,86.57,11.03,93,100,12.86,RU,2019-11-07 05:34:22
169,Bonthe,7.53,-12.5,77.67,88,0,3.0,SL,2019-11-07 05:34:22
170,Tasiilaq,65.61,-37.64,24.8,68,100,3.36,GL,2019-11-07 05:34:22
171,Saint-Pierre,48.95,4.24,48.2,93,97,16.11,FR,2019-11-07 05:34:22
172,Champasak,14.89,105.88,86.0,58,40,4.7,LA,2019-11-07 05:34:23
173,Kaele,10.11,14.45,79.63,32,0,3.56,CM,2019-11-07 05:34:23
174,Mar Del Plata,-46.43,-67.52,47.25,34,0,27.42,AR,2019-11-07 05:34:23
175,Churapcha,62.0,132.43,-9.15,94,100,5.1,RU,2019-11-07 05:34:23
176,Lilongwe,-13.97,33.79,71.6,73,20,6.93,MW,2019-11-07 05:34:24
177,Kupang,-10.16,123.6,91.4,55,40,11.41,ID,2019-11-07 05:34:24
178,Tazovskiy,67.47,78.7,2.89,95,93,5.57,RU,2019-11-07 05:34:24
179,Ketchikan,55.34,-131.65,48.2,100,90,10.29,US,2019-11-07 05:30:07
180,Filadelfia,-22.35,-60.04,76.86,86,100,6.76,PY,2019-11-07 05:34:25
181,Lorengau,-2.02,147.27,84.63,69,94,11.07,PG,2019-11-07 05:34:25
182,Abu Dhabi,24.47,54.37,82.4,69,17,4.7,AE,2019-11-07 05:34:25
183,Ulladulla,-35.36,150.48,78.8,21,0,28.86,AU,2019-11-07 05:34:25
184,Kannur,11.88,75.37,87.8,84,20,3.36,IN,2019-11-07 05:34:26
185,Hvittingfoss,59.48,10.01,26.01,85,98,9.17,NO,2019-11-07 05:34:26
186,Nanortalik,60.14,-45.24,34.45,68,100,30.82,GL,2019-11-07 05:29:41
187,Say,13.1,2.36,77.0,44,0,1.12,NE,2019-11-07 05:34:26
188,Madimba,4.42,9.93,75.2,100,75,2.24,CM,2019-11-07 05:34:27
189,Lac-Au-Saumon,48.42,-67.35,32.0,72,75,18.34,CA,2019-11-07 05:30:03
190,San Quintin,17.54,120.52,83.5,77,28,5.37,PH,2019-11-07 05:34:27
191,Damghan,36.17,54.34,55.89,31,0,2.66,IR,2019-11-07 05:34:27
192,Jijiga,9.35,42.8,68.31,40,42,11.39,ET,2019-11-07 05:34:27
193,Antalaha,-14.9,50.28,78.51,78,94,18.19,MG,2019-11-07 05:34:28
194,Kang,-23.67,22.79,83.62,21,47,12.19,BW,2019-11-07 05:34:28
195,Talnakh,69.49,88.39,14.0,85,75,15.66,RU,2019-11-07 05:34:28
196,Kaeo,-35.1,173.78,71.01,80,44,3.0,NZ,2019-11-07 05:34:29
197,Den Helder,52.96,4.76,46.0,93,75,8.05,NL,2019-11-07 05:34:29
198,Ponta Do Sol,-20.63,-46.0,66.83,95,99,4.25,BR,2019-11-07 05:34:29
199,Nautla,20.22,-96.78,68.14,95,4,2.93,MX,2019-11-07 05:34:29
200,Hamilton,43.26,-79.87,42.01,86,90,4.7,CA,2019-11-07 05:33:36
201,Wewak,-3.55,143.63,83.88,67,94,3.09,PG,2019-11-07 05:34:30
202,Buchanan,5.88,-10.05,77.0,94,75,1.07,LR,2019-11-07 05:34:30
203,Rabo De Peixe,37.8,-25.58,60.8,82,75,4.7,PT,2019-11-07 05:34:31
204,Mahon,51.89,-8.4,41.0,86,40,10.29,IE,2019-11-07 05:34:31
205,Sao Filipe,14.9,-24.5,74.12,81,24,19.22,CV,2019-11-07 05:34:31
206,Saint-Philippe,45.36,-73.48,37.0,94,90,11.41,CA,2019-11-07 05:29:40
207,Ajdabiya,30.75,20.22,70.2,35,2,18.86,LY,2019-11-07 05:34:32
208,Kodinar,20.79,70.7,82.22,70,100,15.23,IN,2019-11-07 05:34:32
209,Dunhua,43.37,128.23,26.37,31,0,14.88,CN,2019-11-07 05:34:32
210,Katrineholm,59.0,16.21,28.99,92,40,1.12,SE,2019-11-07 05:34:32
211,Iqaluit,63.75,-68.52,5.0,77,5,8.05,CA,2019-11-07 05:30:29
212,Husavik,50.56,-96.99,15.01,83,6,4.0,CA,2019-11-07 05:34:33
213,Nevers,46.99,3.16,50.0,87,90,21.92,FR,2019-11-07 05:34:33
214,Pevek,69.7,170.27,28.17,68,77,9.1,RU,2019-11-07 05:34:33
215,Saravan,39.72,45.65,41.0,22,0,0.43,AM,2019-11-07 05:34:34
216,Dingle,11.0,122.67,81.0,84,54,13.4,PH,2019-11-07 05:34:34
217,Rawson,-43.3,-65.11,51.91,51,17,28.83,AR,2019-11-07 05:34:34
218,Dongsheng,29.72,112.52,73.27,32,67,8.12,CN,2019-11-07 05:34:34
219,Victoria,5.28,115.24,86.0,70,75,5.82,BN,2019-11-07 05:34:35
220,Keskin,39.67,33.62,55.0,60,32,1.43,TR,2019-11-07 05:34:35
221,Luba,17.32,120.7,83.5,77,28,5.37,PH,2019-11-07 05:34:35
222,Forestville,48.74,-69.09,32.0,58,75,18.34,CA,2019-11-07 05:34:35
223,Kostino,41.7,25.3,64.99,93,100,1.12,BG,2019-11-07 05:34:36
224,Sassandra,4.95,-6.09,75.85,91,96,3.02,CI,2019-11-07 05:34:36
225,Ambatofinandrahana,-20.55,46.8,72.12,42,63,4.52,MG,2019-11-07 05:34:36
226,Taperoa,-7.21,-36.83,65.03,93,21,7.4,BR,2019-11-07 05:34:36
227,Malumfashi,11.79,7.62,72.41,36,0,3.47,NG,2019-11-07 05:34:37
228,Klaksvik,62.23,-6.59,35.6,66,90,11.41,FO,2019-11-07 05:30:33
229,Axim,4.87,-2.24,74.43,95,55,0.27,GH,2019-11-07 05:34:38
230,Mount Gambier,-37.83,140.78,51.8,93,75,25.28,AU,2019-11-07 05:34:38
231,Kodiak,39.95,-94.76,34.0,69,90,17.22,US,2019-11-07 05:34:39
232,Kongolo,-5.39,27.0,76.5,81,66,2.04,CD,2019-11-07 05:34:39
233,Hovd,63.83,10.7,30.0,73,85,6.93,NO,2019-11-07 05:34:39
234,Touros,-5.2,-35.46,73.4,88,40,3.36,BR,2019-11-07 05:34:39
235,Thabazimbi,-24.59,27.41,84.0,25,0,3.0,ZA,2019-11-07 05:34:39
236,Vostok,46.45,135.83,12.36,81,100,13.56,RU,2019-11-07 05:34:40
237,Vestmanna,62.16,-7.17,35.6,73,89,11.41,FO,2019-11-07 05:34:40
238,Port Moresby,-9.47,147.16,82.4,78,40,20.8,PG,2019-11-07 05:34:40
239,Abu Samrah,35.3,37.18,65.57,51,0,6.4,SY,2019-11-07 05:34:40
240,Mahebourg,-20.41,57.7,79.0,73,40,12.75,MU,2019-11-07 05:34:41
241,Saldanha,41.42,-6.55,41.36,84,24,8.05,PT,2019-11-07 05:30:46
242,Dunedin,-45.87,170.5,59.0,78,82,13.0,NZ,2019-11-07 05:32:26
243,Astana,51.13,71.43,30.2,68,75,11.18,KZ,2019-11-07 05:34:41
244,Yumen,40.29,97.04,52.03,36,51,21.3,CN,2019-11-07 05:34:41
245,Komsomolskiy,67.55,63.78,6.13,96,88,6.55,RU,2019-11-07 05:30:39
246,Hagenow,53.43,11.19,43.0,97,50,4.61,DE,2019-11-07 05:34:42
247,Aklavik,68.22,-135.01,14.0,66,90,3.36,CA,2019-11-07 05:34:42
248,Hambantota,6.12,81.12,86.0,79,75,6.93,LK,2019-11-07 05:34:42
249,Alyangula,-13.85,136.42,91.4,55,40,6.93,AU,2019-11-07 05:34:43
250,Kahului,20.89,-156.47,80.6,69,1,11.41,US,2019-11-07 05:34:43
251,Bambanglipuro,-7.95,110.28,86.13,49,51,10.67,ID,2019-11-07 05:34:43
252,Shieli,44.18,66.74,47.03,34,0,5.17,KZ,2019-11-07 05:34:43
253,Katsuura,33.93,134.5,66.2,48,75,5.82,JP,2019-11-07 05:34:44
254,Nador,35.17,-2.93,62.6,59,0,8.05,MA,2019-11-07 05:34:44
255,Espanola,46.27,-81.77,27.0,86,50,4.99,CA,2019-11-07 05:34:44
256,Taseyevo,57.22,94.9,35.26,71,100,7.85,RU,2019-11-07 05:34:44
257,Srandakan,-7.94,110.25,86.13,49,51,10.67,ID,2019-11-07 05:34:45
258,Laguna,16.17,-88.94,75.2,94,40,4.7,BZ,2019-11-07 05:34:45
259,Kaputa,-8.47,29.66,78.91,61,45,1.68,ZM,2019-11-07 05:34:45
260,Bugarama,-3.29,29.55,65.53,77,80,1.95,BI,2019-11-07 05:34:45
